Date,Load forecast,Generation forecast,Price
2017-01-11 21:00:00+01:00,72700.0,76590.0,77.6
2017-01-11 22:00:00+01:00,70400.0,76426.0,77.95
2017-01-11 23:00:00+01:00,73050.0,76568.0,77.51
2017-01-12 00:00:00+01:00,69950.0,74902.0,67.19
2017-01-12 01:00:00+01:00,66800.0,72563.0,60.37
2017-01-12 02:00:00+01:00,66050.0,71594.0,60.71
2017-01-12 03:00:00+01:00,62850.0,69776.0,51.37
2017-01-12 04:00:00+01:00,61300.0,69578.0,48.46
2017-01-12 05:00:00+01:00,62950.0,70906.0,60.01
2017-01-12 06:00:00+01:00,67450.0,74722.0,73.69
2017-01-12 07:00:00+01:00,74800.0,78651.0,82.87
2017-01-12 08:00:00+01:00,78300.0,80809.0,87.0
2017-01-12 09:00:00+01:00,78100.0,81068.0,88.01
2017-01-12 10:00:00+01:00,78050.0,81536.0,86.71
2017-01-12 11:00:00+01:00,77950.0,81351.0,86.4
2017-01-12 12:00:00+01:00,77750.0,81237.0,82.94
2017-01-12 13:00:00+01:00,77550.0,80503.0,81.19
2017-01-12 14:00:00+01:00,76400.0,80113.0,79.69
2017-01-12 15:00:00+01:00,74250.0,79606.0,76.98
2017-01-12 16:00:00+01:00,73700.0,79629.0,77.15
2017-01-12 17:00:00+01:00,75250.0,80873.0,79.97
2017-01-12 18:00:00+01:00,79850.0,83892.0,89.85
2017-01-12 19:00:00+01:00,81250.0,83378.0,81.28
2017-01-12 20:00:00+01:00,77250.0,81255.0,78.33
2017-01-12 21:00:00+01:00,72850.0,79467.0,70.04
2017-01-12 22:00:00+01:00,70700.0,78979.0,69.21
2017-01-12 23:00:00+01:00,73300.0,77572.0,64.28
2017-01-13 00:00:00+01:00,70050.0,73682.0,59.2
2017-01-13 01:00:00+01:00,67000.0,71279.0,53.2
2017-01-13 02:00:00+01:00,66100.0,70342.0,50.16
2017-01-13 03:00:00+01:00,63200.0,69225.0,46.34
2017-01-13 04:00:00+01:00,62000.0,69301.0,43.66
2017-01-13 05:00:00+01:00,63800.0,69719.0,48.52
2017-01-13 06:00:00+01:00,69050.0,72776.0,61.69
2017-01-13 07:00:00+01:00,76700.0,77780.0,99.0
2017-01-13 08:00:00+01:00,80650.0,80025.0,87.45
2017-01-13 09:00:00+01:00,80450.0,80898.0,96.8
2017-01-13 10:00:00+01:00,79800.0,81127.0,104.48
2017-01-13 11:00:00+01:00,79150.0,81026.0,99.82
2017-01-13 12:00:00+01:00,78500.0,80414.0,96.48
2017-01-13 13:00:00+01:00,78200.0,79543.0,89.9
2017-01-13 14:00:00+01:00,76550.0,78561.0,80.73
2017-01-13 15:00:00+01:00,74150.0,77449.0,72.97
2017-01-13 16:00:00+01:00,73550.0,77272.0,75.59
2017-01-13 17:00:00+01:00,76150.0,79353.0,105.44
2017-01-13 18:00:00+01:00,81150.0,82372.0,105.82
2017-01-13 19:00:00+01:00,82100.0,81414.0,96.02
2017-01-13 20:00:00+01:00,78450.0,78406.0,85.0
2017-01-13 21:00:00+01:00,74450.0,76596.0,81.19
2017-01-13 22:00:00+01:00,72400.0,75380.0,81.19
2017-01-13 23:00:00+01:00,75500.0,74596.0,81.08
2017-01-14 00:00:00+01:00,72550.0,72651.0,75.0
2017-01-14 01:00:00+01:00,69200.0,70454.0,65.13
2017-01-14 02:00:00+01:00,67800.0,69619.0,59.71
2017-01-14 03:00:00+01:00,64850.0,69113.0,55.25
2017-01-14 04:00:00+01:00,63000.0,68494.0,50.01
2017-01-14 05:00:00+01:00,63200.0,68336.0,52.93
2017-01-14 06:00:00+01:00,65150.0,68671.0,55.99
2017-01-14 07:00:00+01:00,67300.0,69977.0,61.25
2017-01-14 08:00:00+01:00,70250.0,71684.0,70.06
2017-01-14 09:00:00+01:00,72550.0,73669.0,72.89
2017-01-14 10:00:00+01:00,73800.0,74116.0,73.49
2017-01-14 11:00:00+01:00,73850.0,75003.0,69.19
2017-01-14 12:00:00+01:00,74500.0,75283.0,67.94
2017-01-14 13:00:00+01:00,74150.0,75077.0,61.23
2017-01-14 14:00:00+01:00,71400.0,73512.0,59.03
2017-01-14 15:00:00+01:00,69100.0,72829.0,58.41
2017-01-14 16:00:00+01:00,68050.0,72544.0,58.03
2017-01-14 17:00:00+01:00,69950.0,74736.0,72.89
2017-01-14 18:00:00+01:00,74850.0,78842.0,85.48
2017-01-14 19:00:00+01:00,76500.0,78848.0,81.79
2017-01-14 20:00:00+01:00,73900.0,77357.0,75.93
2017-01-14 21:00:00+01:00,70850.0,75254.0,69.75
2017-01-14 22:00:00+01:00,69750.0,75393.0,72.89
2017-01-14 23:00:00+01:00,73500.0,75525.0,70.31
2017-01-15 00:00:00+01:00,72600.0,70113.0,64.87
2017-01-15 01:00:00+01:00,69950.0,68615.0,58.65
2017-01-15 02:00:00+01:00,68650.0,68033.0,55.08
2017-01-15 03:00:00+01:00,64900.0,66782.0,51.59
2017-01-15 04:00:00+01:00,62800.0,66265.0,50.0
2017-01-15 05:00:00+01:00,62350.0,65906.0,50.0
2017-01-15 06:00:00+01:00,63150.0,66079.0,51.0
2017-01-15 07:00:00+01:00,64650.0,66246.0,52.19
2017-01-15 08:00:00+01:00,66450.0,66618.0,55.19
2017-01-15 09:00:00+01:00,69050.0,68362.0,63.91
2017-01-15 10:00:00+01:00,72000.0,69977.0,66.13
2017-01-15 11:00:00+01:00,73150.0,71193.0,67.37
2017-01-15 12:00:00+01:00,73950.0,71274.0,71.38
2017-01-15 13:00:00+01:00,74100.0,71025.0,65.77
2017-01-15 14:00:00+01:00,70250.0,69436.0,58.53
2017-01-15 15:00:00+01:00,67600.0,68240.0,57.51
2017-01-15 16:00:00+01:00,66550.0,68404.0,57.12
2017-01-15 17:00:00+01:00,68650.0,71068.0,69.75
2017-01-15 18:00:00+01:00,73750.0,75507.0,88.0
2017-01-15 19:00:00+01:00,76400.0,75928.0,82.38
2017-01-15 20:00:00+01:00,74800.0,75414.0,79.37
2017-01-15 21:00:00+01:00,72050.0,74527.0,76.55
2017-01-15 22:00:00+01:00,70550.0,73683.0,75.83
2017-01-15 23:00:00+01:00,73900.0,72498.0,69.75
2017-01-16 00:00:00+01:00,71450.0,66851.0,57.29
2017-01-16 01:00:00+01:00,69000.0,65878.0,51.38
2017-01-16 02:00:00+01:00,68750.0,65760.0,48.01
2017-01-16 03:00:00+01:00,65900.0,65448.0,41.89
2017-01-16 04:00:00+01:00,64550.0,65732.0,40.98
2017-01-16 05:00:00+01:00,66950.0,67726.0,48.98
2017-01-16 06:00:00+01:00,72250.0,72112.0,66.83
2017-01-16 07:00:00+01:00,79550.0,77994.0,100.38
2017-01-16 08:00:00+01:00,83350.0,81212.0,110.69
2017-01-16 09:00:00+01:00,84100.0,81738.0,110.8
2017-01-16 10:00:00+01:00,84700.0,82126.0,108.57
2017-01-16 11:00:00+01:00,84800.0,82780.0,109.15
2017-01-16 12:00:00+01:00,84750.0,82158.0,106.04
2017-01-16 13:00:00+01:00,84400.0,81390.0,105.59
2017-01-16 14:00:00+01:00,82850.0,80051.0,107.7
2017-01-16 15:00:00+01:00,80250.0,79340.0,108.68
2017-01-16 16:00:00+01:00,79250.0,79436.0,108.43
2017-01-16 17:00:00+01:00,80900.0,81962.0,120.0
2017-01-16 18:00:00+01:00,85500.0,84745.0,124.83
2017-01-16 19:00:00+01:00,87400.0,82633.0,113.84
2017-01-16 20:00:00+01:00,83400.0,79688.0,97.2
2017-01-16 21:00:00+01:00,79150.0,76825.0,80.0
2017-01-16 22:00:00+01:00,76450.0,76392.0,80.0
2017-01-16 23:00:00+01:00,79950.0,76673.0,80.0
2017-01-17 00:00:00+01:00,76050.0,75154.0,80.81
2017-01-17 01:00:00+01:00,73850.0,73813.0,69.61
2017-01-17 02:00:00+01:00,73400.0,73386.0,72.08
2017-01-17 03:00:00+01:00,70700.0,72257.0,58.28
2017-01-17 04:00:00+01:00,69700.0,72503.0,57.76
2017-01-17 05:00:00+01:00,71400.0,73788.0,69.63
2017-01-17 06:00:00+01:00,76800.0,78676.0,94.64
2017-01-17 07:00:00+01:00,84550.0,83823.0,127.06
2017-01-17 08:00:00+01:00,87850.0,85860.0,135.06
2017-01-17 09:00:00+01:00,87850.0,87081.0,135.7
2017-01-17 10:00:00+01:00,87800.0,87429.0,129.33
2017-01-17 11:00:00+01:00,87350.0,88141.0,124.0
2017-01-17 12:00:00+01:00,86800.0,86850.0,111.26
2017-01-17 13:00:00+01:00,85750.0,85839.0,106.08
2017-01-17 14:00:00+01:00,83650.0,84809.0,108.74
2017-01-17 15:00:00+01:00,81000.0,83508.0,113.14
2017-01-17 16:00:00+01:00,80050.0,83192.0,120.22
2017-01-17 17:00:00+01:00,82550.0,85135.0,142.78
2017-01-17 18:00:00+01:00,88050.0,88719.0,162.31
2017-01-17 19:00:00+01:00,90600.0,88718.0,131.54
2017-01-17 20:00:00+01:00,86700.0,83834.0,110.38
2017-01-17 21:00:00+01:00,82000.0,81974.0,93.07
2017-01-17 22:00:00+01:00,79450.0,81973.0,94.5
2017-01-17 23:00:00+01:00,83200.0,82142.0,98.85
2017-01-18 00:00:00+01:00,81450.0,79588.0,81.81
2017-01-18 01:00:00+01:00,78850.0,77669.0,71.65
