Date,MAE,SMAPE (%)
2021-09-03,17.277807,16.050509
2021-09-04,15.454886,14.305617
2021-09-05,20.184708,20.400093
2021-09-06,10.157006,8.07616
2021-09-07,13.642868,10.919377
2021-09-08,12.951696,10.528864
2021-09-09,19.823608,15.502484
2021-09-10,15.232582,11.147731
2021-09-11,11.525481,9.049284
2021-09-12,20.240227,18.18942
2021-09-13,29.85543,22.604826
2021-09-14,33.120018,24.710083
2021-09-15,31.298819,19.782247
2021-09-16,28.699607,17.640519
2021-09-17,16.453936,10.430962
2021-09-18,15.341819,11.660387
2021-09-19,33.136366,30.693567
2021-09-20,44.914877,32.623016
2021-09-21,17.944924,12.172305
2021-09-22,27.476074,18.383331
2021-09-23,27.737314,20.398739
2021-09-24,22.61771,15.764063
2021-09-25,16.220656,11.071233
2021-09-26,26.431351,20.47234
2021-09-27,27.216293,18.798189
2021-09-28,34.788946,22.72577
2021-09-29,26.035783,17.713423
2021-09-30,25.301941,17.764563
2021-10-01,44.609308,35.235304
2021-10-02,41.067588,47.241315
2021-10-03,36.195341,71.816134
2021-10-04,79.634658,60.032047
2021-10-05,44.701323,30.273155
2021-10-06,106.37569,67.851012
2021-10-07,91.514251,35.6022
2021-10-08,24.85707,12.294446
2021-10-09,27.019479,15.088017
2021-10-10,33.989618,22.661364
2021-10-11,41.139776,22.993715
2021-10-12,34.071245,18.70133
2021-10-13,34.870459,18.082378
2021-10-14,27.850156,14.224033
2021-10-15,29.736129,14.714336
2021-10-16,23.002764,12.296918
2021-10-17,30.271153,18.23662
2021-10-18,37.951992,20.631678
2021-10-19,45.614456,34.023048
2021-10-20,65.811588,86.632366
2021-10-21,99.684968,93.439603
2021-10-22,49.649688,24.992056
2021-10-23,20.554789,9.970812
2021-10-24,39.345969,24.864426
2021-10-25,50.146626,26.600421
2021-10-26,25.259517,11.7783
2021-10-27,25.746577,12.778717
2021-10-28,27.980046,15.347058
2021-10-29,35.76656,25.091972
2021-10-30,27.773492,24.074654
2021-10-31,38.278368,42.85284
2021-11-01,35.562123,39.618712
2021-11-02,89.954157,52.222626
2021-11-03,26.176352,14.046971
2021-11-04,19.044418,10.657926
2021-11-05,24.105505,13.097858
2021-11-06,26.12344,15.360579
2021-11-07,36.733039,27.504707
2021-11-08,58.918787,30.385833
2021-11-09,21.385111,10.997752
2021-11-10,48.048088,21.550004
2021-11-11,27.289995,14.121181
2021-11-12,15.284199,8.161912
2021-11-13,27.04192,15.867493
2021-11-14,16.788496,9.637751
2021-11-15,65.324743,30.707403
2021-11-16,47.093759,20.47464
2021-11-17,21.956777,10.384744
2021-11-18,28.246151,12.062861
2021-11-19,22.646363,9.172148
2021-11-20,24.869805,10.601178
2021-11-21,26.763644,11.434575
2021-11-22,48.090639,19.720851
2021-11-23,47.766623,18.064539
2021-11-24,63.620585,22.004186
2021-11-25,45.512984,15.350448
2021-11-26,26.762899,9.656974
2021-11-27,35.558456,15.413622
2021-11-28,27.738336,13.143352
2021-11-29,103.64753,37.777364
2021-11-30,29.575847,11.006691
2021-12-01,55.500029,21.197155
2021-12-02,38.721629,14.19577
2021-12-03,42.996679,14.75877
2021-12-04,63.910171,25.672518
2021-12-05,29.306873,13.42553
2021-12-06,71.098438,26.288642
2021-12-07,32.406371,12.556283
2021-12-08,26.643193,10.962499
2021-12-09,58.720336,20.875678
2021-12-10,33.951305,14.13896
2021-12-11,24.376531,9.764298
2021-12-12,17.696025,6.969024
2021-12-13,65.689344,22.910771
2021-12-14,48.914431,15.16687
2021-12-15,50.318639,14.833985
2021-12-16,58.136254,16.854639
2021-12-17,45.574956,13.586813
2021-12-18,38.530834,11.813444
2021-12-19,35.757956,10.426555
2021-12-20,71.73257,19.438694
2021-12-21,95.072507,22.192261
2021-12-22,64.711507,14.403595
2021-12-23,47.139512,11.294223
2021-12-24,81.769087,23.275434
2021-12-25,85.899265,34.729288
2021-12-26,31.802739,16.903808
2021-12-27,34.889575,23.72961
2021-12-28,31.400854,35.683239
2021-12-29,51.41231,35.33056
2021-12-30,42.922739,42.775089
2021-12-31,33.751859,31.05599
2022-01-01,35.738938,39.806129
2022-01-02,37.957947,60.312601
2022-01-03,66.173003,113.076833
2022-01-04,48.160465,33.824435
2022-01-05,65.634737,39.294555
2022-01-06,36.067474,16.561272
2022-01-07,26.981429,12.750096
2022-01-08,35.050621,19.628335
2022-01-09,49.582968,35.904395
2022-01-10,85.057356,36.477779
2022-01-11,35.996071,14.365325
2022-01-12,26.697941,11.384872
2022-01-13,19.565976,8.698186
2022-01-14,24.795762,10.480067
2022-01-15,21.74623,9.650031
2022-01-16,25.767396,11.760502
2022-01-17,39.85592,15.786164
2022-01-18,23.795252,9.74599
2022-01-19,26.476274,11.27729
2022-01-20,28.529312,12.671418
2022-01-21,22.713357,10.367273
2022-01-22,15.043975,7.351185
2022-01-23,16.481217,8.178065
2022-01-24,57.322673,24.351536
2022-01-25,69.892359,24.335545
2022-01-26,36.536614,13.107487
2022-01-27,29.931902,11.205575
2022-01-28,24.973167,9.801151
2022-01-29,28.729801,12.735115
2022-01-30,10.890421,4.818978
2022-01-31,29.815584,14.839986
2022-02-01,24.63654,11.568089
2022-02-02,18.410452,8.766071
2022-02-03,18.386086,8.948675
2022-02-04,20.800505,10.708563
2022-02-05,23.76458,12.047563
2022-02-06,50.11665,36.404933
2022-02-07,51.07798,27.183108
2022-02-08,20.158716,9.757315
2022-02-09,19.963436,9.407555
2022-02-10,18.851308,9.182939
2022-02-11,22.333354,10.858584
2022-02-12,17.684901,9.205938
2022-02-13,45.997934,28.888566
2022-02-14,49.209797,27.985207
2022-02-15,23.883487,12.328824
2022-02-16,31.297193,20.616438
2022-02-17,35.091265,33.149648
2022-02-18,20.941378,13.7852
2022-02-19,24.148545,21.272436
2022-02-20,26.317351,25.89883
2022-02-21,59.286682,42.563377
2022-02-22,20.344819,11.794279
2022-02-23,22.458854,11.905617
2022-02-24,22.551932,11.951152
2022-02-25,66.178813,28.296751
2022-02-26,33.816859,14.047788
2022-02-27,40.454564,19.936615
2022-02-28,49.379645,20.319384
2022-03-01,33.68566,12.389217
2022-03-02,30.858637,10.820623
2022-03-03,52.739007,15.623709
2022-03-04,37.474428,10.398413
2022-03-05,29.011437,8.267633
2022-03-06,42.664498,11.658108
2022-03-07,68.076449,16.58746
2022-03-08,115.669938,22.280118
2022-03-09,68.413947,14.660728
2022-03-10,70.187405,18.385016
2022-03-11,57.861625,20.220074
2022-03-12,29.383491,11.355768
2022-03-13,42.607181,16.266859
2022-03-14,51.016029,17.09719
2022-03-15,28.093995,9.325979
2022-03-16,21.109676,7.537815
2022-03-17,27.5401,10.590129
2022-03-18,22.414495,9.381275
2022-03-19,38.458266,19.115472
2022-03-20,20.258265,8.989347
2022-03-21,29.378852,11.892069
2022-03-22,30.500728,12.433714
2022-03-23,35.344931,14.180473
2022-03-24,29.382974,11.368433
2022-03-25,31.695269,11.570108
2022-03-26,40.996986,16.833583
2022-03-27,40.685087,20.359599
2022-03-28,43.86077,17.295952
2022-03-29,29.304896,11.266092
2022-03-30,51.202031,17.189519
2022-03-31,33.245264,10.955584
2022-04-01,47.483308,14.694197
2022-04-02,21.262496,7.045442
2022-04-03,51.753129,16.85553
2022-04-04,254.435591,25.999669
2022-04-05,94.581608,27.280097
2022-04-06,58.7691,20.481626
2022-04-07,50.126176,22.10724
2022-04-08,38.540522,15.535165
2022-04-09,22.112572,9.047803
2022-04-10,40.59799,22.487675
2022-04-11,34.172144,14.904965
2022-04-12,33.993985,14.560441
2022-04-13,25.601259,10.784412
2022-04-14,27.160925,11.845208
2022-04-15,28.88457,14.316533
